DIPSTICK,GALLONS
"0-1/8""",1
"0-1/4""",1
"0-3/8""",2
"0-1/2""",3
"0-5/8""",4
"0-3/4""",4
"0-7/8""",5
"1""",6
"1-1/8""",7
"1-1/4""",8
"1-3/8""",9
"1-1/2""",11
"1-5/8""",12
"1-3/4""",13
"1-7/8""",14
"2""",16
"2-1/8""",17
"2-1/4""",18
"2-3/8""",20
"2-1/2""",21
"2-5/8""",23
"2-3/4""",24
"2-7/8""",26
"3""",27
"3-1/8""",29
"3-1/4""",31
"3-3/8""",32
"3-1/2""",34
"3-5/8""",36
"3-3/4""",38
"3-7/8""",39
"4""",41
"4-1/8""",43
"4-1/4""",45
"4-3/8""",47
"4-1/2""",49
"4-5/8""",51
"4-3/4""",53
"4-7/8""",55
"5""",57
"5-1/8""",59
"5-1/4""",61
"5-3/8""",63
"5-1/2""",65
"5-5/8""",67
"5-3/4""",69
"5-7/8""",71
"6""",74
"6-1/8""",76
"6-1/4""",78
"6-3/8""",80
"6-1/2""",83
"6-5/8""",85
"6-3/4""",87
"6-7/8""",89
READING,GALLONS
"7""",92
"7-1/8""",94
"7-1/4""",97
"7-3/8""",99
"7-1/2""",101
"7-5/8""",104
"7-3/4""",106
"7-7/8""",109
"8""",111
"8-1/8""",114
"8-1/4""",116
"8-3/8""",119
"8-1/2""",121
"8-5/8""",124
"8-3/4""",126
"8-7/8""",129
"9""",132
"9-1/8""",134
"9-1/4""",137
"9-3/8""",139
"9-1/2""",142
"9-5/8""",145
"9-3/4""",148
"9-7/8""",150
"10""",153
"10-1/8""",156
"10-1/4""",158
"10-3/8""",161
"10-1/2""",164
"10-5/8""",167
"10-3/4""",169
"10-7/8""",172
"11""",175
"11-1/8""",178
"11-1/4""",181
"11-3/8""",184
"11-1/2""",187
"11-5/8""",189
"11-3/4""",192
"11-7/8""",195
"12""",198
"12-1/8""",201
"12-1/4""",204
"12-3/8""",207
"12-1/2""",210
"12-5/8""",213
"12-3/4""",216
