DIPSTICK,GALLONS
"0-1/8""",6
"0-1/4""",8
"0-3/8""",9
"0-1/2""",11
"0-5/8""",12
"0-3/4""",14
"0-7/8""",15
"1""",17
"1-1/8""",19
"1-1/4""",21
"1-3/8""",23
"1-1/2""",24
"1-5/8""",26
"1-3/4""",29
"1-7/8""",31
"2""",33
"2-1/8""",35
"2-1/4""",37
"2-3/8""",40
"2-1/2""",42
"2-5/8""",45
"2-3/4""",47
"2-7/8""",50
"3""",52
"3-1/8""",55
"3-1/4""",57
"3-3/8""",60
"3-1/2""",63
"3-5/8""",66
"3-3/4""",69
"3-7/8""",71
"4""",74
"4-1/8""",77
"4-1/4""",80
"4-3/8""",83
"4-1/2""",86
"4-5/8""",90
"4-3/4""",93
"4-7/8""",96
"5""",99
"5-1/8""",103
"5-1/4""",106
"5-3/8""",109
"5-1/2""",113
"5-5/8""",116
"5-3/4""",120
"5-7/8""",123
"6""",127
"6-1/8""",130
"6-1/4""",134
"6-3/8""",137
"6-1/2""",141
"6-5/8""",145
"6-3/4""",149
"6-7/8""",152
"7""",156
"7-1/8""",160
READING,GALLONS
"7-1/4""",164
"7-3/8""",168
"7-1/2""",172
"7-5/8""",176
"7-3/4""",180
"7-7/8""",184
"8""",188
"8-1/8""",192
"8-1/4""",196
"8-3/8""",200
"8-1/2""",204
"8-5/8""",208
"8-3/4""",213
"8-7/8""",217
"9""",221
"9-1/8""",226
"9-1/4""",230
"9-3/8""",234
"9-1/2""",239
"9-5/8""",243
"9-3/4""",248
"9-7/8""",252
"10""",257
"10-1/8""",261
"10-1/4""",266
"10-3/8""",270
"10-1/2""",275
"10-5/8""",280
"10-3/4""",284
"10-7/8""",289
"11""",294
"11-1/8""",298
"11-1/4""",303
"11-3/8""",308
"11-1/2""",313
"11-5/8""",318
"11-3/4""",323
"11-7/8""",327
"12""",332
"12-1/8""",337
"12-1/4""",342
"12-3/8""",347
"12-1/2""",352
"12-5/8""",357
"12-3/4""",362
"12-7/8""",367
"13""",373
"13-1/8""",378
"13-1/4""",383
"13-3/8""",388
"13-1/2""",393
"13-5/8""",398
"13-3/4""",404
"13-7/8""",409
"14""",414
"14-1/8""",419
"14-1/4""",425
READING,GALLONS
"14-3/8""",430
"14-1/2""",435
"14-5/8""",441
"14-3/4""",446
"14-7/8""",452
"15""",457
"15-1/8""",462
"15-1/4""",468
"15-3/8""",473
"15-1/2""",479
"15-5/8""",484
"15-3/4""",490
"15-7/8""",496
"16""",501
"16-1/8""",507
"16-1/4""",512
"16-3/8""",518
"16-1/2""",524
"16-5/8""",529
"16-3/4""",535
"16-7/8""",541
"17""",546
"17-1/8""",552
"17-1/4""",558
"17-3/8""",564
"17-1/2""",569
"17-5/8""",575
"17-3/4""",581
"17-7/8""",587
"18""",593
"18-1/8""",599
"18-1/4""",604
"18-3/8""",610
"18-1/2""",616
"18-5/8""",622
"18-3/4""",628
"18-7/8""",634
"19""",640
"19-1/8""",646
"19-1/4""",652
"19-3/8""",658
"19-1/2""",664
"19-5/8""",670
"19-3/4""",676
"19-7/8""",682
"20""",688
"20-1/8""",695
"20-1/4""",701
"20-3/8""",707
"20-1/2""",713
"20-5/8""",719
"20-3/4""",725
"20-7/8""",731
"21""",738
"21-1/8""",744
"21-1/4""",750
"21-3/8""",756
READING,GALLONS
"21-1/2""",763
"21-5/8""",769
"21-3/4""",775
"21-7/8""",781
"22""",788
"22-1/8""",794
"22-1/4""",800
"22-3/8""",807
"22-1/2""",813
"22-5/8""",819
"22-3/4""",826
"22-7/8""",832
"23""",838
"23-1/8""",845
"23-1/4""",851
"23-3/8""",858
"23-1/2""",864
"23-5/8""",870
"23-3/4""",877
"23-7/8""",883
"24""",890
"24-1/8""",896
"24-1/4""",903
"24-3/8""",909
"24-1/2""",916
"24-5/8""",922
"24-3/4""",929
"24-7/8""",935
"25""",942
"25-1/8""",948
"25-1/4""",955
"25-3/8""",961
"25-1/2""",968
"25-5/8""",975
"25-3/4""",981
"25-7/8""",988
"26""",994
"26-1/8""",1001
"26-1/4""",1008
"26-3/8""",1014
"26-1/2""",1021
"26-5/8""",1028
"26-3/4""",1034
"26-7/8""",1041
"27""",1047
"27-1/8""",1054
"27-1/4""",1061
"27-3/8""",1068
"27-1/2""",1074
"27-5/8""",1081
"27-3/4""",1088
"27-7/8""",1094
"28""",1101
"28-1/8""",1108
"28-1/4""",1114
"28-3/8""",1121
"28-1/2""",1128
READING,GALLONS
"28-5/8""",1135
"28-3/4""",1141
"28-7/8""",1148
"29""",1155
"29-1/8""",1162
"29-1/4""",1168
"29-3/8""",1175
"29-1/2""",1182
"29-5/8""",1189
"29-3/4""",1196
"29-7/8""",1202
"30""",1209
"30-1/8""",1216
"30-1/4""",1223
"30-3/8""",1230
"30-1/2""",1236
"30-5/8""",1243
"30-3/4""",1250
"30-7/8""",1257
"31""",1264
"31-1/8""",1270
"31-1/4""",1277
"31-3/8""",1284
"31-1/2""",1291
"31-5/8""",1298
"31-3/4""",1305
"31-7/8""",1311
"32""",1318
"32-1/8""",1325
"32-1/4""",1332
"32-3/8""",1339
"32-1/2""",1346
"32-5/8""",1352
"32-3/4""",1359
"32-7/8""",1366
"33""",1373
"33-1/8""",1380
"33-1/4""",1387
"33-3/8""",1394
"33-1/2""",1400
"33-5/8""",1407
"33-3/4""",1414
"33-7/8""",1421
"34""",1428
"34-1/8""",1435
"34-1/4""",1442
"34-3/8""",1449
"34-1/2""",1455
"34-5/8""",1462
"34-3/4""",1469
"34-7/8""",1476
"35""",1483
"35-1/8""",1490
"35-1/4""",1497
"35-3/8""",1503
"35-1/2""",1510
"35-5/8""",1517
"35-3/4""",1524
"35-7/8""",1531
"36""",1538
"36-1/8""",1545
"36-1/4""",1551
"36-3/8""",1558
"36-1/2""",1565
"36-5/8""",1572
"36-3/4""",1579
"36-7/8""",1586
"37""",1593
"37-1/8""",1599
"37-1/4""",1606
"37-3/8""",1613
"37-1/2""",1620
"37-5/8""",1627
"37-3/4""",1634
"37-7/8""",1640
"38""",1647
"38-1/8""",1654
"38-1/4""",1661
"38-3/8""",1668
"38-1/2""",1674
"38-5/8""",1681
"38-3/4""",1688
"38-7/8""",1695
"39""",1702
"39-1/8""",1708
"39-1/4""",1715
"39-3/8""",1722
"39-1/2""",1729
"39-5/8""",1735
"39-3/4""",1742
"39-7/8""",1749
"40""",1756
"40-1/8""",1763
"40-1/4""",1769
"40-3/8""",1776
"40-1/2""",1783
"40-5/8""",1789
"40-3/4""",1796
"40-7/8""",1803
"41""",1810
"41-1/8""",1816
"41-1/4""",1823
"41-3/8""",1830
"41-1/2""",1836
"41-5/8""",1843
"41-3/4""",1850
"41-7/8""",1856
"42""",1863
"42-1/8""",1870
"42-1/4""",1876
"42-3/8""",1883
"42-1/2""",1890
"42-5/8""",1896
"42-3/4""",1903
"42-7/8""",1910
"43""",1916
"43-1/8""",1923
"43-1/4""",1929
"43-3/8""",1936
"43-1/2""",1942
"43-5/8""",1949
"43-3/4""",1956
"43-7/8""",1962
"44""",1969
"44-1/8""",1975
"44-1/4""",1982
"44-3/8""",1988
"44-1/2""",1995
"44-5/8""",2001
"44-3/4""",2008
"44-7/8""",2014
"45""",2021
"45-1/8""",2027
"45-1/4""",2033
"45-3/8""",2040
"45-1/2""",2046
"45-5/8""",2053
"45-3/4""",2059
"45-7/8""",2066
"46""",2072
"46-1/8""",2078
"46-1/4""",2085
"46-3/8""",2091
"46-1/2""",2097
"46-5/8""",2104
"46-3/4""",2110
"46-7/8""",2116
"47""",2123
"47-1/8""",2129
"47-1/4""",2135
"47-3/8""",2141
"47-1/2""",2148
"47-5/8""",2154
"47-3/4""",2160
"47-7/8""",2166
"48""",2172
"48-1/8""",2179
"48-1/4""",2185
"48-3/8""",2191
"48-1/2""",2197
"48-5/8""",2203
"48-3/4""",2209
"48-7/8""",2215
"49""",2222
"49-1/8""",2228
"49-1/4""",2234
"49-3/8""",2240
"49-1/2""",2246
"49-5/8""",2252
"49-3/4""",2258
"49-7/8""",2264
"50""",2270
"50-1/8""",2276
"50-1/4""",2282
"50-3/8""",2288
"50-1/2""",2294
"50-5/8""",2299
"50-3/4""",2305
"50-7/8""",2311
"51""",2317
"51-1/8""",2323
"51-1/4""",2329
"51-3/8""",2334
"51-1/2""",2340
"51-5/8""",2346
"51-3/4""",2352
"51-7/8""",2358
"52""",2363
"52-1/8""",2369
"52-1/4""",2375
"52-3/8""",2380
"52-1/2""",2386
"52-5/8""",2392
"52-3/4""",2397
"52-7/8""",2403
"53""",2408
"53-1/8""",2414
"53-1/4""",2419
"53-3/8""",2425
"53-1/2""",2431
"53-5/8""",2436
"53-3/4""",2441
"53-7/8""",2447
"54""",2452
"54-1/8""",2458
"54-1/4""",2463
"54-3/8""",2469
"54-1/2""",2474
"54-5/8""",2479
"54-3/4""",2485
"54-7/8""",2490
"55""",2495
"55-1/8""",2500
"55-1/4""",2506
"55-3/8""",2511
"55-1/2""",2516
"55-5/8""",2521
"55-3/4""",2526
"55-7/8""",2531
"56""",2536
"56-1/8""",2542
"56-1/4""",2547
"56-3/8""",2552
"56-1/2""",2557
"56-5/8""",2562
"56-3/4""",2567
"56-7/8""",2572
"57""",2576
"57-1/8""",2581
"57-1/4""",2586
"57-3/8""",2591
"57-1/2""",2596
"57-5/8""",2601
"57-3/4""",2605
"57-7/8""",2610
"58""",2615
"58-1/8""",2620
"58-1/4""",2624
"58-3/8""",2629
"58-1/2""",2634
"58-5/8""",2638
"58-3/4""",2643
"58-7/8""",2647
"59""",2652
"59-1/8""",2656
"59-1/4""",2661
"59-3/8""",2665
"59-1/2""",2670
"59-5/8""",2674
"59-3/4""",2678
"59-7/8""",2683
"60""",2687
"60-1/8""",2691
"60-1/4""",2695
"60-3/8""",2700
"60-1/2""",2704
"60-5/8""",2708
"60-3/4""",2712
"60-7/8""",2716
"61""",2720
"61-1/8""",2724
"61-1/4""",2728
"61-3/8""",2732
"61-1/2""",2736
"61-5/8""",2740
"61-3/4""",2744
"61-7/8""",2748
"62""",2752
"62-1/8""",2755
"62-1/4""",2759
"62-3/8""",2763
"62-1/2""",2767
"62-5/8""",2770
"62-3/4""",2774
"62-7/8""",2777
"63""",2781
"63-1/8""",2784
"63-1/4""",2788
"63-3/8""",2791
"63-1/2""",2795
"63-5/8""",2798
"63-3/4""",2801
"63-7/8""",2805
"64""",2808
"64-1/8""",2811
"64-1/4""",2814
"64-3/8""",2817
"64-1/2""",2821
"64-5/8""",2824
"64-3/4""",2827
"64-7/8""",2830
"65""",2832
"65-1/8""",2835
"65-1/4""",2838
"65-3/8""",2841
"65-1/2""",2844
"65-5/8""",2846
"65-3/4""",2849
"65-7/8""",2852
"66""",2854
"66-1/8""",2857
"66-1/4""",2859
"66-3/8""",2862
"66-1/2""",2864
"66-5/8""",2867
"66-3/4""",2869
"66-7/8""",2871
"67""",2873
"67-1/8""",2875
"67-1/4""",2877
"67-3/8""",2879
